Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,49.124477,48.610538,48.210999,48.243069,48.243069,76489128
2019-09-19,48.253700,46.527607,44.521214,46.395405,46.395405,90101292
2019-09-20,46.394970,47.172070,46.467251,46.694054,46.694054,67572510
2019-09-21,46.703259,47.273003,46.403507,46.491711,46.491711,62293536
2019-09-22,46.512119,47.623089,46.904987,47.603931,47.603931,62396311
2019-09-23,47.592445,49.891903,48.172939,48.183739,48.183739,75004095
2019-09-24,48.183727,58.320587,49.793377,51.279095,51.279095,148728673
2019-09-25,51.177151,51.171459,48.717098,49.662701,49.662701,127242000
2019-09-26,49.666660,51.075584,47.356598,48.696140,48.696140,115507332
2019-09-27,48.660954,47.344021,45.594856,47.231403,47.231403,93920485
2019-09-28,47.228130,47.462219,46.544636,47.234798,47.234798,81004288
2019-09-29,47.235497,48.454769,46.864128,47.530910,47.530910,76447875
2019-09-30,47.531147,46.222988,43.535126,46.109779,46.109779,95153526
2019-10-01,46.142323,47.917400,46.423031,47.046673,47.046673,86304879
2019-10-02,47.051952,46.444679,45.529701,46.444679,46.444679,72633920
2019-10-03,46.432133,48.026592,46.498100,47.146252,47.146252,78018692
2019-10-04,47.143410,46.670933,46.056084,46.365166,46.365166,74240505
2019-10-05,46.388954,46.586079,45.767231,46.223022,46.223022,69182829
2019-10-06,46.213818,47.159657,45.989197,46.158531,46.158531,76048164
2019-10-07,46.164104,45.855831,43.633347,45.509079,45.509079,99399012
2019-10-08,45.515846,45.778725,44.971390,45.207737,45.207737,85661631
2019-10-09,45.213547,44.635319,42.263756,44.469940,44.469940,100287731
2019-10-10,44.415829,45.003067,44.203007,44.800629,44.800629,91926802
2019-10-11,44.794312,47.772335,45.550724,45.581261,45.581261,107380261
2019-10-12,45.547894,46.537624,45.974094,46.102474,46.102474,80367813
2019-10-13,46.104393,46.524677,45.457123,45.700939,45.700939,75838388
2019-10-14,45.699989,44.876808,44.309429,44.793785,44.793785,81040407
2019-10-15,44.787216,46.364021,45.107128,45.232056,45.232056,83902449
2019-10-16,45.228226,46.682850,45.366344,45.721073,45.721073,91309166
2019-10-17,45.722698,45.694023,44.941959,45.520344,45.520344,80397602
2019-10-18,45.503616,46.874500,45.513783,45.922970,45.922970,90147862
2019-10-19,45.926403,46.743900,45.946667,46.199879,46.199879,79796334
2019-10-20,46.253353,47.180611,45.287079,46.840275,46.840275,88326002
