Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,1.140200,1.144750,1.139500,1.140250,1.140250,0
2017-06-20,1.142270,1.144180,1.132390,1.142300,1.142300,0
2017-06-21,1.134290,1.139700,1.130580,1.134200,1.134200,0
2017-06-22,1.134860,1.135660,1.132730,1.134600,1.134600,0
2017-06-23,1.137100,1.140890,1.135890,1.136800,1.136800,0
2017-06-26,1.137830,1.139720,1.135000,1.137840,1.137840,0
2017-06-27,1.137910,1.138400,1.129070,1.137400,1.137400,0
2017-06-28,1.130130,1.139980,1.126050,1.130070,1.130070,0
2017-06-29,1.137000,1.138820,1.135280,1.136850,1.136850,0
2017-06-30,1.137010,1.140790,1.135100,1.137100,1.137100,0
2017-07-03,1.139250,1.141750,1.137650,1.139380,1.139380,0
2017-07-04,1.138220,1.140750,1.137560,1.138300,1.138300,0
2017-07-05,1.138400,1.141160,1.135230,1.138400,1.138400,0
2017-07-06,1.139470,1.141830,1.134050,1.139590,1.139590,0
2017-07-07,1.135380,1.136610,1.128780,1.135190,1.135190,0
2017-07-10,1.130310,1.131990,1.128600,1.130200,1.130200,0
2017-07-11,null,null,null,null,null,null
2017-07-12,1.120580,1.131050,1.117700,1.120670,1.120670,0
2017-07-13,1.128930,1.135820,1.126600,1.129010,1.129010,0
2017-07-14,1.135100,1.143260,1.134200,1.135220,1.135220,0
2017-07-17,1.142390,1.143430,1.137900,1.142370,1.142370,0
2017-07-18,1.137200,1.138260,1.123750,1.137420,1.137420,0
2017-07-19,1.128650,1.132450,1.128370,1.128820,1.128820,0
2017-07-20,1.129900,1.131990,1.114300,1.130170,1.130170,0
2017-07-21,1.114950,1.118310,1.112000,1.114850,1.114850,0
2017-07-24,1.113260,1.120860,1.113100,1.113150,1.113150,0
2017-07-25,1.119130,1.119950,1.116140,1.119320,1.119320,0
2017-07-26,1.118650,1.122870,1.117600,1.118570,1.118570,0
2017-07-27,1.117940,1.124400,1.117160,1.117900,1.117900,0
2017-07-28,1.118370,1.119850,1.114700,1.118400,1.118400,0
2017-07-31,1.118750,1.119320,1.115820,1.118840,1.118840,0
2017-08-01,1.116120,1.120530,1.115800,1.115880,1.115880,0
2017-08-02,1.118330,1.118960,1.115090,1.118130,1.118130,0
2017-08-03,1.115700,1.120040,1.104900,1.116020,1.116020,0
2017-08-04,1.105700,1.110840,1.104350,1.106100,1.106100,0
2017-08-07,1.107460,1.107840,1.103580,1.107550,1.107550,0
2017-08-08,1.104510,1.106210,1.100410,1.104610,1.104610,0
2017-08-09,1.104760,1.109670,1.104100,1.104620,1.104620,0
2017-08-10,1.105800,1.109930,1.104320,1.106200,1.106200,0
2017-08-11,1.102300,1.104470,1.096720,1.102300,1.102300,0
2017-08-14,1.099800,1.102240,1.099000,1.099720,1.099720,0
2017-08-15,1.100820,1.104730,1.094940,1.100750,1.100750,0
2017-08-16,1.095970,1.100530,1.093800,1.095800,1.095800,0
2017-08-17,1.094660,1.102900,1.094400,1.094600,1.094600,0
2017-08-18,1.097880,1.099700,1.092800,1.098130,1.098130,0
2017-08-21,1.094600,1.097400,1.091200,1.094700,1.094700,0
2017-08-22,1.091890,1.092190,1.089600,1.091850,1.091850,0
2017-08-23,1.090330,1.091440,1.082600,1.090170,1.090170,0
2017-08-24,1.083390,1.088060,1.082700,1.083460,1.083460,0
2017-08-25,1.084840,1.087410,1.083400,1.085000,1.085000,0
2017-08-28,1.079750,1.083160,1.078700,1.079640,1.079640,0
2017-08-29,1.080280,1.081240,1.074300,1.080400,1.080400,0
2017-08-30,1.079510,1.084990,1.078600,1.079500,1.079500,0
2017-08-31,1.086460,1.088460,1.082540,1.086530,1.086530,0
2017-09-01,1.086270,1.092620,1.084300,1.086310,1.086310,0
2017-09-04,1.090940,1.091130,1.084900,1.090920,1.090920,0
2017-09-05,1.086300,1.093690,1.085200,1.086200,1.086200,0
2017-09-06,1.093300,1.095220,1.091000,1.093400,1.093400,0
2017-09-07,1.093500,1.094460,1.086690,1.093770,1.093770,0
2017-09-08,1.089300,1.097330,1.086540,1.089320,1.089320,0
2017-09-11,1.098050,1.101780,1.096000,1.098030,1.098030,0
2017-09-12,1.101170,1.112770,1.100700,1.101060,1.101060,0
2017-09-13,1.109700,1.113020,1.106300,1.109990,1.109990,0
2017-09-14,1.110500,1.127290,1.108100,1.110860,1.110860,0
2017-09-15,1.123600,1.139350,1.123200,1.123790,1.123790,0
2017-09-18,1.137300,1.138850,1.129140,1.137090,1.137090,0
2017-09-19,1.129500,1.130690,1.123790,1.129900,1.129900,0
2017-09-20,1.126820,1.132370,1.124900,1.126700,1.126700,0
2017-09-21,1.135960,1.136540,1.131940,1.136130,1.136130,0
2017-09-22,1.136770,1.136790,1.126500,1.136650,1.136650,0
2017-09-25,1.132450,1.139340,1.132270,1.132200,1.132200,0
2017-09-26,1.136630,1.141700,1.136000,1.136300,1.136300,0
2017-09-27,1.140830,1.143120,1.136900,1.140600,1.140600,0
2017-09-28,1.140120,1.141400,1.134800,1.140240,1.140240,0
2017-09-29,1.139830,1.139950,1.131090,1.139830,1.139830,0
2017-10-02,1.134180,1.136110,1.127570,1.133800,1.133800,0
2017-10-03,1.131210,1.133360,1.125800,1.131270,1.131270,0
2017-10-04,1.126800,1.129640,1.126000,1.127050,1.127050,0
2017-10-05,1.125460,1.126570,1.119500,1.125300,1.125300,0
2017-10-06,1.119330,1.119530,1.111970,1.119440,1.119440,0
2017-10-09,1.114030,1.122710,1.113800,1.114100,1.114100,0
2017-10-10,1.119040,1.120270,1.116800,1.119220,1.119220,0
2017-10-11,1.118060,1.118400,1.112560,1.118050,1.118050,0
2017-10-12,1.115660,1.117090,1.107260,1.115670,1.115670,0
2017-10-13,1.120970,1.126520,1.119700,1.120890,1.120890,0
2017-10-16,1.124670,1.129060,1.122820,1.124760,1.124760,0
2017-10-17,1.123750,1.128700,1.120100,1.123300,1.123300,0
2017-10-18,1.120560,1.122230,1.117770,1.120650,1.120650,0
2017-10-19,1.120210,1.120210,1.112290,1.120090,1.120090,0
2017-10-20,1.109850,1.120030,1.108100,1.109820,1.109820,0
2017-10-23,1.122160,1.123620,1.119800,1.122110,1.122110,0
2017-10-24,1.123050,1.124150,1.114700,1.123000,1.123000,0
2017-10-25,1.116410,1.125910,1.114300,1.116100,1.116100,0
2017-10-26,1.122640,1.126810,1.116530,1.122830,1.122830,0
2017-10-27,1.127940,1.132920,1.123370,1.128110,1.128110,0
2017-10-30,1.131570,1.137140,1.129700,1.131670,1.131670,0
2017-10-31,1.133880,1.140300,1.133160,1.133740,1.133740,0
2017-11-01,1.140400,1.144830,1.139300,1.140670,1.140670,0
2017-11-02,1.139830,1.140410,1.118870,1.139600,1.139600,0
2017-11-03,1.119400,1.126080,1.119000,1.119420,1.119420,0
2017-11-06,1.126000,1.133510,1.124900,1.126030,1.126030,0
2017-11-07,1.134300,1.137250,1.132050,1.134200,1.134200,0
2017-11-08,1.135250,1.136100,1.128290,1.135300,1.135300,0
2017-11-09,1.130870,1.133090,1.126460,1.130940,1.130940,0
2017-11-10,1.128470,1.134610,1.127090,1.128470,1.128470,0
2017-11-13,1.124910,1.126910,1.120650,1.125010,1.125010,0
2017-11-14,1.124630,1.124770,1.114200,1.124400,1.124400,0
2017-11-15,1.115840,1.116300,1.109600,1.115300,1.115300,0
2017-11-16,null,null,null,null,null,null
2017-11-17,1.120670,1.123610,1.116820,1.120710,1.120710,0
2017-11-20,1.124960,1.128960,1.123070,1.124900,1.124900,0
2017-11-21,1.128040,1.130770,1.126200,1.128050,1.128050,0
2017-11-22,1.128170,1.129160,1.124660,1.128390,1.128390,0
2017-11-23,1.126700,1.127520,1.121800,1.126800,1.126800,0
2017-11-24,1.122710,1.124280,1.117040,1.122720,1.122720,0
2017-11-27,1.116870,1.119830,1.115240,1.117130,1.117130,0
2017-11-28,1.118930,1.120770,1.113300,1.118880,1.118880,0
2017-11-29,1.127830,1.133890,1.126800,1.127920,1.127920,0
2017-11-30,1.131930,1.138990,1.131100,1.131960,1.131960,0
2017-12-01,1.136910,1.137590,1.131040,1.137050,1.137050,0
2017-12-04,1.137660,1.141960,1.131800,1.137580,1.137580,0
2017-12-05,1.135070,1.138880,1.128110,1.135200,1.135200,0
2017-12-06,1.133660,1.136110,1.129570,1.133400,1.133400,0
2017-12-07,1.134280,1.139090,1.130080,1.134100,1.134100,0
2017-12-08,1.145000,1.150400,1.135500,1.145160,1.145160,0
2017-12-11,1.137880,1.139390,1.131300,1.137810,1.137810,0
2017-12-12,1.133100,1.137200,1.130770,1.133160,1.133160,0
2017-12-13,1.134140,1.138470,1.132800,1.134170,1.134170,0
2017-12-14,1.132880,1.141150,1.132090,1.132600,1.132600,0
2017-12-15,1.140700,1.140920,1.128640,1.140680,1.140680,0
2017-12-18,1.133820,1.137100,1.131000,1.133860,1.133860,0
2017-12-19,1.135320,1.135580,1.127700,1.135230,1.135230,0
2017-12-20,1.130740,1.132560,1.126240,1.130400,1.130400,0
2017-12-21,1.125500,1.126970,1.124600,1.125400,1.125400,0
2017-12-22,1.128640,1.131610,1.126980,1.128300,1.128300,0
2017-12-25,1.127500,1.128700,1.124400,1.127000,1.127000,0
2017-12-26,1.126430,1.127580,1.124700,1.126400,1.126400,0
2017-12-27,1.127760,1.129170,1.125500,1.127700,1.127700,0
2017-12-28,1.126110,1.127710,1.124580,1.126150,1.126150,0
2017-12-29,1.125500,1.128690,1.124500,1.125200,1.125200,0
2018-01-01,1.124900,1.126200,1.122100,1.125600,1.125600,0
